ID,Original_Input,Gold_Reference,Baseline (Pivot)_Output,Baseline (Pivot)_Style,Baseline (Pivot)_Content,Baseline (Pivot)_Fluency,Baseline (Pivot)_Composite,Model 2 (ZeroShot)_Output,Model 2 (ZeroShot)_Style,Model 2 (ZeroShot)_Content,Model 2 (ZeroShot)_Fluency,Model 2 (ZeroShot)_Composite,Model 3 (Synthetic)_Output,Model 3 (Synthetic)_Style,Model 3 (Synthetic)_Content,Model 3 (Synthetic)_Fluency,Model 3 (Synthetic)_Composite
10,"托龙多是一个全球城市,在区域、国家和国际上有着重要影响,也是世界上最多文化和种族多样性的城市。","托龙多是一个全球城市,在区域、国家和国际上有着重要影响,也是世界上最多文化和多族裔的城市之一。","长途公路是一个具有重大区域、国家和国际影响的全球城市,是世界上多文化和族裔最多样化的城市之一。",1,0.857,879.2,0.46,"托龙多是一个全球城市,在区域、国家和国际上有着重要影响,也是世界上最多文化和种族多样性的城市",1,0.995,2106.2,0.361,"托龙多是一个全球城市,在区域、国家和国际上有着重要影响,也是世界上最多文化和种族多样性的城市之一。",1,0.988,1288.8,0.425
11,粘土平面板是全世界娱乐部门(剧院、电视、音乐会、夜总会和户外活动)和建筑应用专业照明系统的主要开发者之一。,土基平面板是娱乐部门(剧院、电视、音乐会、夜总会和户外活动)和建筑应用专业照明系统的开发者。,平板板板是娱乐部门(戏剧、电视、音乐会、夜总会和户外活动)和全世界建筑应用专用照明系统的开发者。,1,0.929,48306.8,0.124,粘土平面板是一家娱乐部门(剧院、电视、音乐会、夜总会和户外活动)照明系统的主要开发者之一。,0,0.937,24136.1,0.0,粘土平面板是娱乐部门(剧院、电视、音乐会、夜总会和户外活动)和建筑应用专业照明系统的主要开发者之一。,0,0.98,39535.9,0.0
12,"该公司是世界上最有声望的公司之一,雇用了800多名律师,主要以公司、诉讼和税务惯例著称。","公司雇用了800多名律师,主要以公司、诉讼和税务惯例著称。","该公司雇用了800多名律师,主要以公司、诉讼和税务惯例著称。",1,0.916,11026.0,0.202,"该公司雇用了800多名律师,主要以公司、诉讼和税务惯例著称。",1,0.916,11026.0,0.202,"该公司雇用了800多名律师,主要以公司、诉讼和税务惯例著称。",1,0.916,11026.0,0.202
13,"然而,尽管自2008年以来曾尝试进行重大福利改革,但领取失业疾病津贴的人数总数仍然大致相同:约有250万人,没有从失业疾病和残疾津贴预算中节省一分钱。","然而,尽管自2008年以来曾尝试进行重大福利改革,但领取失业疾病津贴的人数仍然大致相同:约250万人。","然而,尽管自2008年以来进行了重大福利改革,但领取失业疾病津贴的总人数大致保持不变:约250万人,但不影响失业疾病和残疾津贴预算。",1,0.904,6114.5,0.245,"然而,尽管自2008年以来曾尝试进行重大福利改革,但领取失业疾病津贴的人数总数仍然大致相同:约有250万人,没有从失业医疗补助预算中节省一分钱。",1,0.977,13235.2,0.195,"然而,尽管自2008年以来曾尝试进行重大福利改革,但领取失业疾病津贴的人数总数仍然大致相同:约有250万人。",1,0.934,5227.9,0.261
14,"1974年的纪录片由Abbie Hoffman(美国社会和政治活动家、芝加哥七大洲七大洲成员)导演,","1974年的纪录片由Abbie Hoffman导演(美国社会和政治活动家,",1974年纪录片由Abbie Hoffman(芝加哥七大洲成员)导演。,1,0.885,4113.5,0.278,"1974年的纪录片由Abbie Hoffman(美国社会和政治活动家)导演,",1,0.906,4858.3,0.265,"1974年的纪录片由Abbie Hoffman(美国社会和政治活动家、芝加哥七大洲成员)导演,",1,0.989,3550.1,0.303
15,"一位来自锡亚族的记者声称, 数千名什叶派教派斗士正在集结; “目标是让一万人支持锡亚族军队和亲政府的民兵,","一位叙利亚安全人士声称, 数千名伊拉尼人和伊拉吉战士正在集结; “目标是让一万人支持沙利亚军队和亲政府的民兵,","一名来自西侧的记者说,数以千计的希亚战斗人员正在聚集;“目标是支持10 000名叙利亚军队和亲政府民兵,该国人民将能够支持他们。",1,0.818,24087.7,0.15,"一位来自锡亚族的记者声称, 数千名什叶派教派斗士正在集结;",1,0.89,27844.2,0.147,"一位来自锡亚族的记者声称, 数千名什叶派教派斗士正在集结; “目标是让一万人支持锡族军队和亲政府的民兵,",1,0.992,17516.4,0.178
16,"更确切地说,它是一个多种族国家, 超越了其他一切。","不过,应该指出,在某些国家,包括美国,作为白人民族的特征往往被过分强调,因为更准确地说,这是一个多种族国家。","这是一个多民族国家,超越一切",0,0.809,4213.4,0.0,"更确切地说,它是一个多种族国家,超越了其他一切。",0,1.0,2202.1,0.0,"更确切地说,它是一个多种族国家。",0,0.909,19333.8,0.0
17,"Williams再次道歉, 详细、深思熟虑地描述他在新闻中的角色,","威廉斯再次道歉, 并讲述他在新闻中的角色, 与今日节目的Matt Lauer的独家采访中,","Williams再次道歉,因为他详细描述了他在新闻中的角色,并努力帮助他把新闻带出国外。",1,0.822,3407.2,0.289,"Williams再次道歉,详细描述他在新闻中的角色,",0,0.924,1334.5,0.0,"Williams再次道歉, 详细地描述他在新闻中的角色,",0,0.94,1641.9,0.0
18,联邦王国(或“联邦王国”)是以伊丽莎白二世为各自君主的各民族联邦内十六个主权国家之一。,联邦王国是以伊丽莎白二世为各自君主的各民族联邦内十六个主权国家中的任何一个国家。,"联邦王国是16个主权国家之一,在国家联盟内,伊丽莎白二世是其中的主权国。",1,0.794,11202.7,0.192,联邦王国是以伊丽莎白二世为各自君主的各民族联邦内十六个主权国家之一。,1,0.948,6749.3,0.241,以伊丽莎白二世为各自君主的各民族联邦内十六个主权国家之一。,1,0.903,6121.8,0.245
19,"他们玩这些评级游戏,以获得更多的评级权力,并扭曲收入分成付款。","据说他们玩这些评级游戏是为了获得更多的评级权力,并扭曲收入分成付款。","他们声称他们玩这些评级游戏是为了获得更多的评级权威,扭曲收入分享付款。",1,0.883,43255.3,0.127,"玩家们玩这些评级游戏,以获得更多的等级权力,并扭曲收入分成付款。",0,0.958,13963.5,0.0,"他们玩这些游戏,以获得更多的评级权力,并扭曲收入分成付款。",1,0.982,11536.9,0.204
20,"并让自己骄傲, 乐器联盟、马拉特萨芬、罗迪克、James blake、Ivan ljubii等球员及其他许多人都参加了Bangkok的比赛。",乐透联盟、马拉特萨芬、罗迪克、詹姆斯布莱克、伊万朱比和其他一些世界顶尖球员参加了在Bangkok举行的比赛。,"乐队,马拉萨芬,罗迪克,詹姆斯・布雷克 和许多其他演出 在曼谷。",1,0.702,2361.6,0.31,乐器联盟、马拉特萨芬、罗迪克、James blake、Ivan ljubii等球员及其他许多人都参加了Bangkok的比赛。,1,0.936,4140.9,0.283,"并让自己骄傲, 乐器联盟、马拉特萨芬、罗迪克、James blake、Ivan ljubii等球员及其他许多人都参加了Bangkok的比赛。",0,1.0,6993.6,0.0
21,卡车司机的驾驶车 将他们的专辑 南方摇滚歌剧献给 赖尼纳德·斯云尼,卡车司机将南方摇滚歌剧专辑 献给林纳德·斯凯恩斯,卡车司机的车将首张专辑 献给南方摇滚歌剧,1,0.81,1209083.3,0.041,卡车司机的驾驶车 将他们的专辑南方摇滚歌剧献给 赖尼纳德斯云尼,1,0.977,516959.0,0.057,卡车司机的驾驶车 将他们的专辑 南方摇滚歌剧献给 赖尼纳德·斯云尼,1,1.0,413697.0,0.062
22,"以及土耳其军队在该国东部发动空袭和行动, 包括封锁2015年七月的锡斯雷, 并宣布为新大选单方面停火。","当地民众宣布为新大选单方面停火。 当地民众宣布, 停火。","土耳其军队在该国东部发动空袭和行动,包括封锁2015年土耳其宪法和单方面停火以举行新选举。",1,0.873,39381.3,0.13,"以及土耳其军队在该国东部发动空袭和行动,包括封锁2015年七月的锡斯雷, 并宣布为新大选单方面停火|",1,0.995,24402.3,0.16,"以及土耳其军队在该国东部发动空袭和行动, 包括封锁2015年七月的锡斯雷,",1,0.92,30026.4,0.145
23,咖啡厅申诉程序在实践中如何运作的实例,咖啡厅申诉程序在实践中如何运作的实例,咖啡厅申诉程序如何运作的范例,1,0.905,25337.9,0.153,咖啡厅申诉程序在实践中如何运作,1,0.934,62818.8,0.114,咖啡厅申诉程序的实例,1,0.854,61485.2,0.112
24,"elvis Presley在1956年与Rca签了字之后, 于1956年第一次发行67张专辑, 1977年去世后于1977年的16张,","Elvis Presley在1956年与Rca签署后, 于1977年去世后, 于1977年的Aguust 16号之间,","1956年与rca签署后, Elvis 1956年首次发行67张专辑, 1977年他死后又发行16张专辑。",1,0.838,27570.2,0.145,"elvis Presley在1956年与Rca签了字之后, 发行了67张专辑, 1977年去世后于1977年的16张,",0,0.956,6230.0,0.0,"elvis Presley在1956年与Rca签了字之后, 1956年发行了67张专辑, 1977年去世后于1977年的16张,",0,0.964,4463.8,0.0
25,"图书馆保存着Timbuktu最大的家庭手稿收藏, 藏有约22 000卷。","图书馆保存着Timbuktu最大的私人手稿收藏, 收藏约22000件物品。","图书馆收藏了廷巴克图最大的家庭手稿,藏有约22 000卷。",1,0.906,5492.7,0.255,"图书馆保存着Timbuktu最大的家庭手稿收藏 , 藏有约22 000卷",1,0.989,5944.4,0.255,"图书馆保存着Timbuktu最大的家庭手稿收藏, 约有22 000卷。",1,0.981,5596.5,0.26
26,"禁止部分生育堕胎法(第108-105、hr 760, s 3号公法)(或“pba禁令”)是美国的一项法律,禁止完全的放大和提取,即所谓的部分生育堕胎。","禁止部分生育堕胎法(第108-105、hr 760、s 3号公法)(或“pba禁令”)是美国的一项法律,禁止无保留地进行授精和抽取,一些立法者在非医学术语中提及了部分生育堕胎。","禁止部分堕胎(第108-105、hr、760 s 3号《公法》)(或“禁止怀孕)的法律是禁止完全放大和提取,即部分堕胎的联邦法律。",1,0.859,715.7,0.493,"禁止部分生育堕胎法(第108-105、hr 760, s 3号公法)(或“pba禁令”)是美国的一项法律,禁止完全的放大和提取,即所谓的部分怀孕或胎儿畸胎 ,是对胎儿造成永久性的损伤的一种惩罚措施,也是一项强制性的法律",0,0.905,1103.9,0.0,"禁止部分生育堕胎法(第108-105、hr 760, s 3号公法)(或“pba禁令”)是美国的一项法律,禁止完全的放大和提取。",1,0.964,661.2,0.526
27,这显然与犹太人相信上帝的纯洁相冲突(见Shema)。,与传统的犹太人对上帝的纯洁性的理解相冲突(见Shema)。,这与传统的犹太教信仰上帝纯洁相矛盾(见Shema)。,1,0.879,16679.3,0.174,"但这显然与犹太人相信上帝的纯洁相冲突(见Shema , edwards, and shema).",0,0.904,9056.2,0.0,这显然与犹太人相信上帝的纯洁相冲突(见Shema)。,0,1.0,22728.9,0.0
28,"在美国,“医生”可以是具有对等病症的医学院毕业并被指定为医学博士或具有骨科病症的医学院,并被指定为医学博士。","在美国,“医生”可以是医学院毕业并被指定为医学博士的医生,也可以是具有骨科病理学的医学院,并且被指定为医学博士。","在美国,医生可以是具有同等条件的医学院毕业生的医生,被指定为骨质疏松症医生或医生和医生。",1,0.799,9048.3,0.207,"在美国,医生可以是具有对等病症的医学院毕业并被指定为医学博士 ,具有骨科疾病(脊柱侧梁疾病)医生院,或者具有整形外科医生(外科医师)资格(整形美容专业)毕业,并在整形医院取得相应学位,获得相应的医学学位(医学硕士)或学位授予权,并获得相应荣誉(荣誉学位)或者学位授权(授予学位),从而成为一名医生或医生,而不是医生助理或医师(医师),或者医生护士(护士)助理(医生)或其他专门从事医疗保健工作的人员,或者是医生",1,0.758,5344.8,0.242,"在美国,“医生”可以是具有对等病症的医学院毕业并被指定为医学博士或具有骨科病学的医生。",1,0.945,8037.5,0.227
29,"超过20名审核员都挑出关于点火、游戏和猎鲨的主题,","超过20名审核人员都挑出关于色、游戏、游戏鲨鱼的主题, 这也是许多博客文章和合唱团传说的主题。",审计员选择了点火、游戏和捕鲨等主题。,1,0.808,199968.2,0.074,"超过20名审核员都挑出关于点火 ,游戏 和猎鲨主题,",0,0.958,139288.6,0.0,"超过20名审核员都挑出关于点火、游戏和猎鲨的主题,",0,1.0,103706.4,0.0
30,"尽管在谈判时澳洲已经是人均最大排放国之一, 但该国却获得8%增长的简单目标。","尽管在谈判时澳洲已经是人均最大排放国之一, 但该国仍获得8%增长的目标。","尽管澳洲在谈判时已经是人均最大排放国之一,但该国实现了8%的增长目标。",1,0.933,22280.7,0.161,"尽管在谈判时澳洲已经是人均最大排放国之一, 该国却获得8%增长的目标。",1,0.973,29915.6,0.148,"尽管在谈判时澳洲已经是人均最大排放国之一, 但该国却获得8%的增长目标。",1,0.971,21803.4,0.165
31,总统里根的任期标志着美国经济繁荣的时代。,"总统里根的任期标志着美国经济繁荣的时代,",总统里根的任职标志着美国经济繁荣的时代。,1,0.976,454785.1,0.06,总统里根的任期标志着美国经济繁荣的时代。【阅读全文】,1,0.925,144131.7,0.086,总统里根的任期标志着美国经济繁荣的时代。,1,1.0,258966.7,0.073
32,"石板是一块石头或木板,通常比其宽度高,在古代西方文化中作为纪念碑而竖立。","石板是一块石头或木板,通常比其宽度高,在古代世界中作为纪念碑竖立。","石板是一块石头或板块,通常比它宽得多,是古老西方文化中树立的纪念碑。",1,0.875,2108.5,0.346,"石板是一块石头或木板,通常比其宽度高,在古代西方文化中作为纪念碑而竖立",1,0.991,1655.6,0.391,"石板是一块石头或木板,通常比其宽度高,在西方文化中作为纪念碑而竖立。",1,0.986,1788.1,0.381
33,"约有150起经证实的被德国平民、士兵、警察或准军事集团私刑杀害的坠毁的盟军飞机(特别是轰炸机)机组人员未亡,以报复联合恐怖爆炸(Alliierter炸弹攻击者)的报复。","还有大约150起经证实的被击毁的盟军飞机机组幸存人员被德国平民、士兵、警察或准军事集团杀害的案件,以报复所谓 "" 蒙古-美国爆炸恐怖 "" 的纳粹-宣传恐怖。","约有150人证实遭到报复,报复坠毁的联盟飞机(特别是轰炸机)机组人员,他们被德国平民、士兵、警察或准军事团体私刑杀害,以报复联合轰炸(直升机炸弹攻击者)。",0,0.873,35074.6,0.0,"约有150起经证实的被德国平民、士兵、警察或准军事集团私刑杀害的坠毁的盟军飞机(特别是轰炸机)机组人员未亡,以报复联合恐怖爆炸(Alliierter炸弹攻击者)",0,0.984,26112.6,0.0,"约有150起经证实的被德国平民、士兵、警察或准军事集团私刑杀害的坠毁的盟军飞机(特别是轰炸机)机组人员未亡,",0,0.929,35059.8,0.0
34,"一级是所有在2004年1月1日或之后加入政府职务的公务员必须缴纳的基本工资10%的Gp和da,每月从工资单中扣除。","2004年1月1日或1月之后,所有政府公务员都必须缴纳基本工资10%的Gp和da,每月从工资单中扣除。","第一级是所有公务员在2004年1个月后或之后加入政府必须支付的基本工资的10%,并从每月工资中扣除。",1,0.873,2626.1,0.322,"一级是所有在2004年1月1日或之后加入政府职务的公务员必须缴纳的基本工资10%的 gp和da,每月从工资单中扣除。",1,0.992,6123.5,0.253,"一级是所有在2004年1月1日或之后加入政府职务的公务员必须缴纳的基本工资10%的Gp和da,每月从工资单中扣除。",1,1.0,4390.1,0.283
35,"1979年选举阿德里亚罗杰斯为会长, 1979年以他在南部洗礼会 中 的突出作用而闻名于世。",1979年 阿德里亚罗杰斯当选了会长 1979年开始 保守派重新崛起 以他在南部受洗会中 的突出作用著称,"1979年,阿德里安·罗杰斯当选为总统,1979年,他在南部浸礼会教堂发挥了重要作用。",1,0.801,5791.7,0.24,"con 1979年选举阿德里亚罗杰斯为会长,1979年以他在南部洗礼会中的突出作用而闻名于世。",0,0.984,9152.6,0.0,"1979年选举阿德里亚罗杰斯为会长, 以他在南部洗礼会中的作用而闻名。",1,0.959,23677.2,0.159
36,"最高法院在Bush诉Gore案中以7-2票否决了Gore因违反平等保护条款而企图有选择地将选票计为违宪的企图,并裁定5-4无效,即宪法上有效的计票不能在12月12日的最后期限前完成。","最高法院在Bush诉Gore案中以7-2票表决驳回了Gore提出的重新计票的要求,因为违反了平等保护条款,不符合宪法,并进一步裁定5-4, 宪法上有效的重新计票不能在12月12日的最后期限之前完成。","在Bush诉Gore案中,最高法院以7-2票否决了Gore企图选择性地将投票归类为违反平等保护条款的违宪,并裁定5-4无效,即无法在12月12日的最后期限前完成有效的宪法计票。",0,0.915,2661.1,0.0,"最高法院在Bush诉Gore案中以7-2票否决了gore因违反平等保护条款而企图有选择地将选票计为违宪的行为,并裁定5-4无效,即宪法上有效的计票不能在12月12日的最后期限前完成。",0,0.98,2806.6,0.0,"最高法院在Bush诉Gore案中以7-2票否决了该案,裁定5-4无效,即宪法上有效的计票不能在12月12日的最后期限前完成。",1,0.892,261.1,0.699
37,玩具故事3 得到普遍批评的赞美。,玩具故事3 得到非常积极的评议。,玩具第3号被批评为赞美。,1,0.795,83551.8,0.098,"玩具故事3 得到普遍批评的 好评 ,特别是家长们的赞美。",0,0.887,9066.7,0.0,玩具故事3得到普遍批评的赞美。,0,1.0,3046.6,0.0
38,"军方“不要要求,不要告诉”有关破坏行为的政策, </blockquote> 更严格地加强边境安全、枪支所有权、自愿学校祈祷、取消医疗保健以及允许工人退出社会保障。",军队“不要问别告诉」政策、“/封锁”边境安全、枪支所有权、自愿学校祈祷、取消医疗保健以及允许工人退出社会保障。,"军方“不要要求,也不要告诉”破坏政策, </blockquate>, 这些政策更严格地加强边境安全,",0,0.815,1851.0,0.0,军方更严格地加强边境安全、枪支所有权、自愿学校祈祷、取消医疗保健以及允许工人退出社会保障。,0,0.87,12721.9,0.0,"军方“不要要求,不要告诉”有关破坏行为的政策, </blockquote> 更严格地加强边境安全、枪支所有权、自愿学校祈祷、取消医疗保健以及允许工人退出社会保障。",0,1.0,5222.7,0.0
39,"这是古老的封建部落的“荣誉守则”,属于阿富汗特有的暴力的中央亚洲景观,不幸的是,该地区仍然非常有效。","这是古老的封建部落的“荣誉守则”,属于阿富汗特有的暴力的中央亚洲景观,在该地区仍然有很大效力。","这是古代封建部落的“荣誉守则”,是亚洲暴力的中心景观,依然非常有效。",0,0.844,1108.0,0.0,"这是古老的封建部落的“荣誉守则”,属于阿富汗特有的暴力的中央亚洲景观,该地区仍然非常有效。",0,0.966,1717.0,0.0,"这是古老的封建部落的“荣誉守则”,属于阿富汗特有的暴力的中央亚洲景观。",1,0.914,1947.8,0.361
40,"她的表演剧包括 担任领导角色 在五集 出生的Rico决定 和电影 黄色, el Cantante, 和才华的区。","她的表演剧包括担任五集《出生和小角色》的主角,在黄色、El Cantante和 "" 镇里才 "" 电影中担任次要角色。",她的演技包括 波多黎各决定诞生的五集中 的主角 以及黄色的 El Cantante 和有才华的邻居,0,0.724,1001.2,0.0,"她的表演剧包括 担任领导角色 在五集 出生的Rico决定 ,电影黄色, el Cantante, 和才华的区",0,0.967,5855.2,0.0,"她的表演剧包括 担任领导角色 在五集 出生的Rico决定 和电影 黄色, el Cantante,和才华的区。",1,1.0,6040.6,0.255
41,"白鸽鸟——母亲,拳头,阿拉德(第27次1928年黄麻,2004年第四期节日)是多林鸟表演艺术学院的创始人和艺术远见。","白鸽鸟 - 母亲,拳头,阿拉德(第27次1928年黄麻,2004年第四期胎儿)是多林鸟表演艺术学院的创始人。","多维鸟 -- -- 母亲,拳王,阿拉德(第27次黄麻1928年,第四节2004年)是多木艺术表演学院的创办人。",1,0.843,6959.1,0.23,"白鸽鸟——母亲,拳头,阿拉德(第27次1928年黄麻,2004年第四期节日)是多林鸟表演艺术学院的创始人",1,0.968,8759.6,0.223,"白鸽鸟——母亲,拳头,阿拉德(第27次1928年黄麻,2004年第四期节日)是多林鸟表演艺术学院的创始人。",1,0.977,7209.7,0.238
42,"由编辑编辑编辑所编成的可纠正的全人类缺陷目录,详细描述了许多跨人类主义者在人类的酶中提议进行的大量具体的基因改变,并为这一领域的研究提供了一套指导方针。","由编辑组成的人类缺陷全天性可纠正目录详细描述许多跨人类主义者喜欢在人类的酶中进行的大量具体的基因改变, 并为物种名称、先发制人地控制基因改变滥用以及研究和实施提供一套指导方针。","由编辑编辑和编辑汇编的可调控人类缺陷目录详细介绍了人类酶中许多跨高度提出的一些具体基因变化,并为这一领域的研究提供了一套准则。",1,0.867,28535.6,0.145,"可纠正的全人类缺陷目录,详细描述了许多跨人类主义者在人类的酶中提议进行的大量具体的基因改变,并为这一领域的研究提供了一套指导方针。",0,0.954,12686.8,0.0,"由编辑编辑所编成的可纠正的全人类缺陷目录,详细描述了许多跨人类主义者在人类的酶中提议进行的大量具体的基因改变,并为这一领域的研究提供了一套指导方针。",0,0.996,17059.7,0.0
43,"ibn qudamah也拒绝这种做法,并指出先知和正确指引的哈里发鼓励以温和和友好的方式收集济斯雅。","ibn qudamah也反对这种做法,并指出,穆罕马德和拉皮德加里夫鼓励温和和友好地收集吉兹亚。","ibn quadamah也反对这种做法,指出,得到适当指导的穆哈马德和哈里发人鼓励以温和友好的方式收集齐西亚。",1,0.861,6441.3,0.237,"ibn qudamah也拒绝这种做法,并指出哈里发鼓励以温和和友好的方式收集济斯雅。",0,0.949,5433.3,0.0,"ibn qudamah也拒绝这种做法,并指出哈里发鼓励以温和和友好的方式收集济斯雅。",0,0.949,5433.3,0.0
